conta,sum
10027762.0,760.0
10031329.0,84.0
10038488.0,1980.0
10045509.0,1783.04
10045790.0,1426.72
10047824.0,440.0
10048142.0,1180.0
10048566.0,84.0
10048567.0,84.0
10064905.0,84.33
10064906.0,84.33
10071568.0,390.0
10071636.0,1950.0
10071719.0,2080.0
10071757.0,520.0
10072268.0,1260.0
10073040.0,1140.0
10076547.0,400.0
10076839.0,1426.72
10076943.0,891.07
10076961.0,891.07
10087430.0,800.0
10090401.0,84.0
10090403.0,84.0
10094136.0,236.0
10094874.0,84.0
10101910.0,760.0
10102382.0,84.0
10102385.0,84.0
10102736.0,1540.0
10104444.0,84.0
10107235.0,84.33
10107236.0,84.33
10114521.0,84.0
10114523.0,84.0
10114525.0,84.0
10114526.0,84.0
10123716.0,650.0
10123718.0,1820.0
10124284.0,1690.0
10124445.0,370.0
10124917.0,1070.04
10124927.0,713.36
10124931.0,1783.04
10136700.0,1170.4
10138489.0,84.0
10151682.0,190.0
10152277.0,84.0
10156115.0,84.0
10167627.0,760.0
10169083.0,84.33
10170777.0,84.0
10170779.0,84.0
10170780.0,84.0
10171060.0,110.0
10179812.0,84.0
10181715.0,199.505
10181717.0,199.505
10181776.0,199.505
10181782.0,199.505
10181914.0,110.0
10182075.0,130.0
10182104.0,130.0
10182157.0,130.0
10182266.0,130.0
10182343.0,130.0
10183934.0,185.0
10184034.0,185.0
10184362.0,146.29999999999998
10197338.0,84.0
10204219.0,855.0
10205858.0,190.0
10205865.0,110.0
10209727.0,84.0
10209731.0,84.0
10226708.0,126.0
10226709.0,126.0
10226713.0,126.0
10227540.0,185.0
10228237.0,100.0
10228257.0,100.0
10228318.0,100.0
10233003.0,130.0
10233033.0,130.0
10233124.0,130.0
10233136.0,130.0
10233200.0,90.0
10233223.0,130.0
10240648.0,199.55000000000004
10240734.0,84.33
10240735.0,84.33
10240930.0,84.33
10241918.0,146.3
10242304.0,210.0
10247037.0,90.0
10247937.0,199.55
10248022.0,199.55000000000004
10251777.0,84.0
10252342.0,199.54999999999998
10267204.0,190.0
10267335.0,760.0
10268209.0,84.33
10268210.0,84.33
10271713.0,84.0
10271718.0,84.0
10271721.0,84.0
10271724.0,84.0
10271726.0,84.0
10273264.0,110.0
10281158.0,110.0
10285851.0,90.0
10285867.0,199.51666666666665
10285873.0,130.0
10287160.0,130.0
10287230.0,130.0
10287248.0,130.0
10289043.0,146.29999999999998
10289289.0,84.0
10289292.0,84.0
10291254.0,199.505
10294185.0,199.51666666666665
10294247.0,210.0
10294378.0,185.0
10294379.0,130.0
10294771.0,90.0
10296938.0,199.54999999999998
10309817.0,760.0
10312580.0,520.0
10312813.0,84.0
10312816.0,84.0
10312818.0,84.0
10318775.0,150.0
10325710.0,316.6666666666667
10328434.0,110.0
10328456.0,110.0
10328572.0,90.0
10330428.0,84.0
10330431.0,84.0
10330432.0,84.0
10330433.0,84.0
10336441.0,90.0
10340582.0,84.33
10340599.0,84.33
10341699.0,130.0
10342117.0,130.0
10342172.0,130.0
10342519.0,130.0
10342581.0,130.0
10342663.0,199.505
10343009.0,210.0
10343244.0,146.20000000000002
10344203.0,199.6625
10344393.0,80.0
10344946.0,157.31
10346607.0,190.0
10357432.0,84.0
10358243.0,120.0
10359369.0,110.0
10364154.0,150.0
10364879.0,84.0
10364881.0,84.0
10366913.0,199.54999999999998
10372055.0,500.0
10372220.0,855.0
10374981.0,84.0
10376004.0,84.33
10376057.0,252.99
10376171.0,84.33
10389808.0,80.0
10390122.0,90.0
10390240.0,185.0
10391502.0,130.0
10391587.0,130.0
10392116.0,130.0
10392130.0,130.0
10392139.0,130.0
10392340.0,80.0
10392342.0,80.0
10392343.0,80.0
10392652.0,210.0
10393696.0,80.0
10393697.0,80.0
10393698.0,80.0
10395161.0,80.0
10395167.0,80.0
10395226.0,110.0
10395375.0,110.0
10395694.0,80.0
10395696.0,80.0
10396469.0,80.0
10396474.0,80.0
10396475.0,80.0
10396750.0,80.0
10396753.0,80.0
10397251.0,80.0
10397252.0,80.0
10397255.0,120.0
10397381.0,90.0
10397533.0,80.0
10398264.0,80.0
10398265.0,80.0
10398267.0,80.0
10398753.0,84.0
10398756.0,84.0
10398758.0,84.0
10398999.0,80.0
10399000.0,80.0
10400586.0,80.0
10400712.0,80.0
10401587.0,157.31
10401619.0,80.0
10401914.0,80.0
10402285.0,80.0
10402289.0,80.0
10402291.0,80.0
10402745.0,80.0
10402748.0,80.0
10403998.0,80.0
10404008.0,80.0
10404373.0,146.3
10404546.0,202.25
10407093.0,520.0
10407109.0,400.0
10407111.0,80.0
10407112.0,855.0
10407113.0,80.0
10407128.0,80.0
10410720.0,190.0
10410776.0,80.0
10410777.0,80.0
10410780.0,80.0
10412580.0,80.0
10412582.0,80.0
10413830.0,80.0
10413832.0,80.0
10414899.0,5070.0
10414945.0,390.0
10416332.0,80.0
10416334.0,80.0
10416461.0,80.0
10416464.0,80.0
10416468.0,80.0
10418128.0,80.0
10418129.0,80.0
10418130.0,80.0
10418147.0,80.0
10419172.0,150.0
10419350.0,80.0
10419354.0,80.0
10419456.0,199.54999999999998
10420983.0,80.0
10420985.0,80.0
10421018.0,80.0
10421021.0,80.0
10421430.0,80.0
10421437.0,80.0
10421441.0,80.0
10421538.0,80.0
10421541.0,80.0
10422187.0,100.0
10423145.0,80.0
10423146.0,80.0
10423532.0,84.0
10423628.0,130.0
10423707.0,130.0
10423752.0,130.0
10423852.0,130.0
10424051.0,130.0
10424142.0,130.0
10424395.0,80.0
10424419.0,80.0
10424674.0,130.0
10424738.0,80.0
10424741.0,80.0
10425007.0,100.0
10428513.0,80.0
10428514.0,80.0
10428515.0,80.0
10428601.0,80.0
10428622.0,80.0
10429106.0,80.0
10429107.0,80.0
10429248.0,80.0
10429249.0,80.0
10429251.0,80.0
10430597.0,80.0
10430600.0,80.0
10430603.0,110.0
10432384.0,80.0
10432387.0,80.0
10432390.0,80.0
10433143.0,80.0
10435400.0,80.0
10435401.0,80.0
10435404.0,80.0
10435411.0,80.0
10435420.0,80.0
10435709.0,225.0
10439199.0,80.0
10439200.0,80.0
10439202.0,80.0
10439803.0,80.0
10440250.0,80.0
10440256.0,80.0
10440292.0,120.0
10441237.0,90.38
10441242.0,90.38
10441307.0,90.38
10442813.0,80.0
10442815.0,80.0
10442829.0,80.0
10442903.0,190.0
10443193.0,80.0
10443194.0,80.0
10443198.0,80.0
10443249.0,80.0
10443250.0,80.0
10443737.0,110.0
10443762.0,6.06
10443935.0,80.0
10443943.0,80.0
10444250.0,110.0
10444764.0,80.0
